name,category,image,description,price
Roti Coklat,Roti,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/bfad8cea-8804-4428-b86f-90da1e796524_Go-Biz_20221224_080445.jpeg?auto=format,Roti bakar dengan coklat,"22000"
Roti Susu,Roti,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/ccc5bb84-01a4-4459-88f3-1cbe0552df77_Go-Biz_20221224_080551.jpeg?auto=format,Roti bakar dengan susu,"22000"
Roti Keju,Roti,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/4de0a38c-e0b8-4a14-a496-8da49661b07a_Go-Biz_20221224_080625.jpeg?auto=format,Roti bakar dengan keju,"22000"
Roti Srikaya,Roti,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/2c945583-d872-4112-b9f4-c986021c174b_Go-Biz_20221224_080726.jpeg?auto=format,Roti bakar dengan srikaya,"22000"
Roti Kacang,Roti,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/2c945583-d872-4112-b9f4-c986021c174b_Go-Biz_20221224_080726.jpeg?auto=format,Roti bakar dengan kacang,"22000"
Indomie Single Polos,Indomie,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/08fc4d2b-e4d5-4ae2-8e68-fc37c43dc6ab_Go-Biz_20221224_082021.jpeg?auto=format,Satu indomie rebus tanpa toping,"12000"
Indomie Single Telor,Indomie,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/08fc4d2b-e4d5-4ae2-8e68-fc37c43dc6ab_Go-Biz_20221224_082021.jpeg?auto=format,Satu indomie rebus dengan telur,"22000"
Indomie Kornet,Indomie,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/08fc4d2b-e4d5-4ae2-8e68-fc37c43dc6ab_Go-Biz_20221224_082021.jpeg?auto=format,Indomie dengan toping kornet,"24000"
Indomie Double Polos,Indomie,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/08fc4d2b-e4d5-4ae2-8e68-fc37c43dc6ab_Go-Biz_20221224_082021.jpeg?auto=format,dua indomie tanpa toping,"20000"
Indomie Double Telor,Indomie,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/08fc4d2b-e4d5-4ae2-8e68-fc37c43dc6ab_Go-Biz_20221224_082021.jpeg?auto=format,dua indomie dengan dua telur,"25000"
Nasi Goreng Biasa,Nasi,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/7d1b95ec-6b71-4ad5-88b0-802b44da3881_Go-Biz_20230507_002735.jpeg?auto=format,Nasi Goreng,"17000"
Nasi Putih,Nasi,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/96dee160-1bcf-4c74-819e-f0a980985e32_Go-Biz_20221224_091846.jpeg?auto=format,Nasi Putih,"8000"
Nasi Telor,Nasi,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/548dfde1-83e2-4661-9f1f-c84fb6b25056_Go-Biz_20221224_091913.jpeg?auto=format,Nasi Putih dengan toping telur,"13000"
Nasi Telor Kornet,Nasi,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/fd61e2ec-794b-4a8e-84c5-fbcc7aac3fc4_Go-Biz_20230507_003036.jpeg?auto=format,Nasi putih dengan toping telur dan kornet,"20000"
Nasi Goreng Sosis,Nasi,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/2df32aec-a275-4d84-b759-bf33635ef731_Go-Biz_20230507_003418.jpeg?auto=format,Nasi goreng dengan toping sosis,"20000"
Pisang Coklat,Pisang,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e45bfdf9-f71e-4ed2-9e8e-72c00a2a1ece_Go-Biz_20221224_092816.jpeg?auto=format,Pisang goreng dengan toping coklat,"20000"
Pisang Srikaya,Pisang,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e45bfdf9-f71e-4ed2-9e8e-72c00a2a1ece_Go-Biz_20221224_092816.jpeg?auto=format,pisang goreng dengan toping selai srikaya,"20000"
Pisang Nutela,Pisang,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e45bfdf9-f71e-4ed2-9e8e-72c00a2a1ece_Go-Biz_20221224_092816.jpeg?auto=format,pisang goreng dengan toping nutella,"24000"
Pisang Milo,Pisang,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e45bfdf9-f71e-4ed2-9e8e-72c00a2a1ece_Go-Biz_20221224_092816.jpeg?auto=format,pisang goreng dengan toping bubuk milo,"24000"
Pisang Ovomaltine,Pisang,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/e45bfdf9-f71e-4ed2-9e8e-72c00a2a1ece_Go-Biz_20221224_092816.jpeg?auto=format,posang goreng dengan toping ovomaltine,"24000"
Ayam Bakar,Ayam,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/f5db90e3-94b0-4e7f-9cd5-f16f984fd10e_Go-Biz_20230104_090433.jpeg?auto=format,Ayam bakar,"23000"
Ayam Geprek,Ayam,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/97ffdaed-1f9a-4551-8ff7-f28ecb21df80_Go-Biz_20230104_090523.jpeg?auto=format,Ayam goreng krispi geprek,"23000"
Ayam Goreng,Ayam,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/57604847-22f8-4466-8632-bb16bd0852d2_Go-Biz_20230507_004548.jpeg?auto=format,Ayam goreng krispi geprek,"23000"
Ayam Geprek Mozarella,Ayam,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/34a0269f-b2ed-418c-901d-def48f742beb_Go-Biz_20230507_004634.jpeg?auto=format,Ayam geprek dengan toping mozarella,"27000"
